Municipis tensionats	Codi
Abrera	080018
Alella	080039
Amposta	430141
Arenys de Mar	080060
Arenys de Munt	080076
Argentona	080095
Badalona	080155
Badia del Vallès	089045
Balaguer	250404
Banyoles	170157
Barberà del Vallès	082520
Barcelona	080193
Berga	080229
la Bisbal d'Empordà	170221
Blanes	170237
Cabrera de Mar	080291
Cabrils	080305
Caldes de Montbui	080333
Caldes d'Estrac	080327
Calella	080351
Calldetenes	080370
Cambrils	430385
Canet de Mar	080403
la Canonja	439076
Canovelles	080410
Cardedeu	080462
Castellar del Vallès	080517
Castellbisbal	080543
Castelldefels	080569
Cerdanyola del Vallès	082665
Cervelló	080689
Cervera	250729
Corbera de Llobregat	080728
Cornellà de Llobregat	080734
Cubelles	080749
Esparreguera	080765
Esplugues de Llobregat	080771
Falset	430555
Figueres	170669
les Franqueses del Vallès	080863
la Garriga	080885
Gavà	080898
Girona	170792
Granollers	080961
Guissona	251109
l'Hospitalet de Llobregat	081017
Igualada	081022
la Llagosta	081056
Lleida	251207
Llinars del Vallès	081069
Lloret de Mar	170950
Malgrat de Mar	081108
Manlleu	081120
Manresa	081136
Matadepera	081206
Mataró	081213
Molins de Rei	081234
Mollerussa	251370
Mollet del Vallès	081249
Montcada i Reixac	081252
Montgat	081265
Montmeló	081350
Montornès del Vallès	081363
Móra la Nova	430944
Olesa de Montserrat	081477
Olot	171143
Palafolls	081555
Palafrugell	171175
Palamós	171181
Palau-solità i Plegamans	081568
el Papiol	081580
Parets del Vallès	081593
Pineda de Mar	081635
Polinyà	081672
Porqueres	171371
el Prat de Llobregat	081691
Premià de Dalt	082303
Premià de Mar	081727
Puigcerdà	171411
Reus	431233
Ripoll	171479
Ripollet	081803
la Roca del Vallès	081810
Roquetes	431331
Rubí	081846
Sabadell	081878
Salou	439057
Salt	171557
Sant Adrià de Besòs	081944
Sant Andreu de Llavaneres	081976
Sant Boi de Llobregat	082009
Sant Celoni	082021
Sant Climent de Llobregat	082042
Sant Cugat del Vallès	082055
Sant Esteve Sesrovires	082080
Sant Feliu de Guíxols	171609
Sant Feliu de Llobregat	082114
Sant Fost de Campsentelles	082093
Sant Fruitós de Bages	082135
Sant Joan Despí	082172
Sant Just Desvern	082212
Sant Pere de Ribes	082310
Sant Pol de Mar	082359
Sant Quirze del Vallès	082384
Sant Sadurní d'Anoia	082401
Sant Vicenç de Montalt	082649
Sant Vicenç dels Horts	082634
Santa Coloma de Cervelló	082444
Santa Coloma de Farners	171805
Santa Coloma de Gramenet	082457
Santa Margarida de Montbui	082508
Santa Perpètua de Mogoda	082606
Santa Susanna	082613
Sarrià de Ter	171864
la Seu d'Urgell	252038
Sitges	082704
Solsona	252075
Sort	252094
Tarragona	431482
Tàrrega	252173
Teià	082819
Terrassa	082798
Tiana	082824
Tona	082830
Torelló	082858
Torredembarra	431536
Torrelles de Llobregat	082896
Tortosa	431554
Tremp	252347
Vallirana	082956
Valls	431613
el Vendrell	431634
Vic	082981
Viladecans	083015
Vilafranca del Penedès	083054
Vilanova del Camí	083020
Vilanova i la Geltrú	083073
Vilassar de Dalt	082140
Vilassar de Mar	082191
el Masnou	081189
